"name","year","id","type__001","type__002","type__003","rate","story","director__001","director__002","director__003","actor__001","actor__002","actor__003","actor__004"
"画中仙","1988","1479821","奇幻","冒险","喜剧","6.5","拾儿（元彪 饰）是老道士（午马 饰）在河边一个木盆里发现的孤儿，起名拾儿将其抚养成人。拾儿自小跟着老道士捉鬼降妖，与俗世沾染不多，只得崔书生（吴启华 饰）这一个朋友。鬼王（李美凤 饰）向来作恶多端，常将无辜少女劫走，带入阴间。莫愁就是鬼王带走的一个年轻女孩，在出嫁路上被劫走，做了孤魂野鬼，受制于鬼王。崔书生偶遇可附于画中的莫愁，对其曼妙可爱的身姿恋恋不忘，鬼王却始终不肯放过莫愁。\n崔书生决心解救莫愁，反被鬼王所抓，拾儿一心想救出朋友，老道士却不通人情不愿帮忙。拾儿是否能够救出崔书生？好心收养孤儿的道士真是如此绝情？©豆瓣","午马","","","元彪","王祖贤","午马","李美凤"
"老虎出更","1988","1293854","动作","喜剧","犯罪","6.9","警界老油条阿辉（周润发 饰）生性风流，凭借自己父亲昔日手下沾叔（黄沾 饰）的维护，阿辉在警局虽然得不到升迁，但也落得清闲。新进警员曹里昂（李元霸 饰）的到来打破了这一切，曹大胆甚至莽撞的办案方式连累阿辉大出洋相，阿辉虽恨曹里昂，但碍于上司命令，不得不与曹搭档。\n与此同时，毒枭罗茂森（徐少强 饰）的手下毒蛇炳将其交易的毒品调包私自出售，毒蛇炳之妹当娜（利智 饰）配合售毒。兄妹二人非法入港相依为命，希望藉由毒品生意改善生活。罗茂森团伙杀人引起警方注意，阿辉与曹里昂两人接手此案，他们很快从当娜身上得到了线索。而罗茂森亦发现毒蛇炳偷梁换柱的所为，一时间阿辉与罗茂森展开了对当娜的争夺……©豆瓣","刘家良","","","周润发","利智","李元霸","高飞"
"手足情","1988","1291870","剧情","","","8.7","查理（汤姆·克鲁斯 Tom Cruise 饰）父亲去世，留下了300万美元的遗产。然而令他意外的是，遗产全部给了一个他不认识的哥哥雷蒙（达斯汀·霍夫曼 Dustin Hoffman 饰）。雷蒙的名字查理从没听过，这个事件让他气愤不已。他决定前去寻找哥哥。谁知雷蒙的住处就在一个精神病院里，原来他自幼患有自闭症，母亲去世后就被送到精神病院治疗。查理心中有了算计，他把雷蒙带出精神病院，企图骗他出让遗产。\n雷蒙的生活习惯奇异，活在自己的幻想世界里，有很多离奇古怪的行为。并且，查理在共处中发现了雷蒙惊人的记忆能力，他试着利用哥哥过目不忘的本领去赌场上试一下身手，赢得了一大笔奖金，使查理足以摆脱穷困生活。而令查理收获更大的是，他还获得了慢慢升温的亲情，这种手足情远远胜过了他原先图谋的300万的遗产。©豆瓣","巴瑞·莱文森","","","达斯汀·霍夫曼","汤姆·克鲁斯","瓦莱丽亚·戈利诺","邦尼·亨特"
"最佳损友","1988","1304382","喜剧","","","6.7","徐家父亲逝世了，身在美国的徐定贵（刘德华 饰）应叔父的邀请回到了香港承继遗产。徐定贵有个同父异母的哥哥徐定富，定富对于这个前来分家产的弟弟十分不满，刚好叔父要求定贵在公司工作，并要求他表现良好才能顺利领得遗产。\n为了能独吞财富，假仁假义的定富故意招来了三位出名的损友，跟定贵成为朋友后把他教坏。意想不到的是这三位损友不但没有把定贵教坏，四人还成为了好友。当他们知道了定富的阴谋之后，决定联手对付卑鄙的定富。©豆瓣","王晶","","","刘德华","陈百祥","冯淬帆","邱淑贞"
"猛鬼佛跳墙","1988","1295674","喜剧","恐怖","","6.7","建筑设计师骠叔（董骠 饰）在行业内辛勤工作二十年，最近因一单设计受到老板赏识，升迁之余，更获赠一幢山中别墅的使用权。骠叔与妻子（狄波拉 饰）兴高采烈的告别了拥挤的旧屋，携大女儿阿珍（李丽珍 饰）、阿珍男友大旧（何启南 饰）探访别墅，虽然家具需要重新添置、阿珍又在别墅中看到可疑的黑影，但难掩一家人的乔迁之喜。然而不久别墅中便发生众多可疑之事，凌乱的阁楼中似乎潜藏着对骠叔一家不怀好意的鬼魂，大旧请来的捉鬼专家被鬼物肆意整治后，骠叔欲为恶鬼拍照却被鬼上身，受恶鬼影响的骠叔愈发暴躁。在这一家人要将恶鬼生前的悲剧重演之时，住在附近的独眼道士（梁小龙 饰）出手相助……©豆瓣","于仁泰 (Ronny Yu)","","","董骠","李丽珍 Loletta Lee","何启南",""
"一妻两夫","1988","1919846","喜剧","爱情","","6.5","一直以来，阿信（陈友 饰）都希望能够成为一名话剧演员，甚至为了出演著名的古典戏剧《罗密欧与朱丽叶》而放弃了一切，倾家荡产。然而，天不遂人愿，阿信的努力和孤注一掷最终以失败告终，他和女主演百佳（梅艳芳 饰）双双失落的告别了舞台。\n之后，阿信终于放弃了信仰，开始尝试着出演一些通俗剧目，哪知道意外的获得了成功。而阿信的好友华仔（钟镇涛 饰）在同妻子惠康（夏文汐 饰）结婚之后便将生活的重心转移到了工作上，备受冷落的惠康决定离家出走。在演出中，阿信结识了美丽的女演员飘红（钟楚红 饰），对其一见倾心，哪知道飘红心心念念的，竟然是已有家室的华仔。©豆瓣","陈友","","","钟镇涛","陈友","钟楚红","梅艳芳"
"童党","1988","1764251","动作","","","7.4","新区街童大强、昏迷、护发素、小妖、薄乐卡等是黑道少年，收保护费、入室抢劫等坏事无所不为。大强在这群人中比较冷静，当他看到自己的弟弟小强也跟着他们沦落时，心生无限感触。由于一次开车事故，薄乐卡与他们的大哥被杀，他们与大花猫和猪油糕藏在小妖的婆婆家中。由于经济短缺，他们一方面要大花猫和猪油糕出去接客，一方面求助于顶爷。不想顶爷报警，把昏迷抓走，大花猫和猪油糕被另一帮少年掠走。逃生的大强和昏迷放火烧了对方的地盘，对方帮会不甘吃亏，追杀他们，并祸及了家人。","刘国昌","","","何沛东","梁十一","马衍亭",""
"过埠新娘","1988","1484140","动作","喜剧","","6.5","小玉（张曼玉 饰）带上了自己的全部家当，只身一人来到美国，为的就是同相恋多年的未婚夫皮特（张坚庭 饰）相聚，然而，越过千山万水之后的小玉才发现，在美国，没有居住权的她事事举步维艰。\n在皮特的怂恿之下，小玉决定通过假结婚来获得居住权，他们找到了落魄赌鬼钱宝（洪金宝 饰），希望能与他达成交易。就这样，小玉成为了钱宝的妻子。让小玉没有想到的是，仅仅一天之后，皮特就带着小玉的全部财产消失无踪，留下茫然的小玉和钱宝，不知该如何是好，刚开始，钱宝粗暴的将小玉赶出家本，但之后于心不忍，又再次收留了她，两个走投无路的倒霉鬼，在异国他乡该如何生存？©豆瓣","张坚庭","","","洪金宝","张曼玉","张坚庭","林建明"
"吉屋藏娇","1988","2158905","家庭","喜剧","奇幻","7.1","郑裕玲和尔冬升是一对准备结婚之同居男女，但由于某种原因，其原有之新居未能入住，因此便租住其好友郑丹瑞祖父之古老大屋内。利智及唐丽球本是郑丹瑞祖父卢海鹏之黑市夫人及侍婢，当二人死后其鬼魂仍留在大屋内等待卢之回来。人，鬼住在一起，便发生连串笑话...","陆剑明","","","尔冬升","郑裕玲","利智",""
"我爱太空人","1988","1302686","","","","6.8","某金融公司的投资顾问Sam，携妻儿移民加拿大后，只身返口香港继续拼搏。另一位叫阿珍的，也拟全家移民加拿大。她丈夫先走一步，到加拿大去办移民手续，留她一人在港。Sam和阿珍这两个“太空人”因种种误会而相识，共处斗室客客气气地生活在一起。Sam虽只离开香港很短一段时间，但当他再回到以前的公司时，却发现已人事全非，年轻人取代了他的工作。他感到恍如隔世，一切都格格不入。阿珍则经常遇到老板的纠缠，因每次都拒绝老板的要求，她被降了职。Sam和阿珍通过互相倾诉日间的不快，感情日增。两人都失业后，更是同病相怜经过一番理性的挣扎，他们最后还是情不自禁双双坠人爱河。正当二人如胶似漆相爱之际，Sam的太太和阿珍的丈夭突然回港，拆散了他们。若干年后，Sam与阿珍偶然相遇，发现彼此都没有去加拿大过“安稳”生活。","罗卓瑶","","","甘国亮","恬妞","曾志伟","缪骞人"
