"name","year","id","type__001","type__002","type__003","rate","story","director__001","director__002","actor__001","actor__002","actor__003","actor__004"
"唐山五虎","1978","2030894","动作","剧情","","5.5","本功夫片由罗马导演，讲述「通臂拳」第三代传人万天行(侯朝声饰)与三位门徒王福春(惠天赐 饰)、张天寿(熊光饰)及陈六吉(吴元俊饰)，无故被马占天(关东饰)欺凌，师徒俱败于马拳下。三徒悲愤填膺，矢志替师父泄耻洗辱，乃分别寻找名师学艺。结果，张获豆腐小寡妇传授「 连环穿心腿」、陈拜师跛脚老乞学得「还魂饱鹤」绝招、王则随渔翁练就超拔武功。半年后，万寿辰之日，三徒联袂回归，约定马一较高下……","罗马","","侯朝声","陆剑明","惠天赐","吴元俊"
"新贴错门神","1979","10756856","喜剧","动作","","5.9","招积仔与大眼是一对欢喜冤家，终日无所事事，靠骗钱为生。一日，两人在路上遇到一个受重伤的人，他向两人透露在芝麻镇里被困狱中的吴争气得知一批价值连城珠宝的所在。两人于是前往芝","黄元申","","黄元申","陈国权","林正英",""
"够格女郎","","2149793","","","","","","","","","","",""
"广东铁桥三","1979","4261502","动作","","","0","铁桥三（1813年－1886年），原名梁坤，广东南海县人。年幼时就非常嗜武，到处寻访名师。后来有机会遇到洪拳巨子、福建莆田少林寺的觉因和尚，对他的武功非常景仰，遂拜其为师，入广州白云山能仁寺带发修行。在寺中学艺七年，得到觉因的悉心教诲，尽得其师真传，成为洪拳传入广东后的一位代表人物。","李钊","","王钟","高飞","丁华宠","梁家仁"
"毒计","1979","4306449","","","","0","","华仁","","刘丹","韩国材","陈仪馨",""
"豪侠","1979","1302738","剧情","动作","武侠","7.2","高家庄少主高朋（刘江 饰）新婚之夜，遭遇仇家白忠堂的袭击。高败逃陈师公家，继而得知神道张三（韦白 饰）武功绝伦，行侠仗义，可为高家庄报仇。高朋暗中观察，见张三安贫乐道，奉母甚亲，于是有意接近，并派出刀客安如命试探其武功。\n张母逝，高朋出资厚葬，令张三感激备至，于是不惜身家性命甘愿为高家报仇。他和偶然结识的青年侠客青衣（刘松仁 饰）同闯白忠堂，刀光剑影，血流成河。然士为知己者死，张三一腔热血报答高朋，未料却投错了恩主……©豆瓣","吴宇森","","刘松仁","韦白","刘江","魏秋桦"
"龙拳","1979","1299487","动作","剧情","","6.4","唐山武馆馆主庄三太在武林比武中胜出，获得武林至尊匾，此时，百胜道场钟鉴均（任世官 饰）登门挑战。因忠、庄二人在十八年前为争夺钟夫人结下冤仇，钟鉴均痛下杀手，用绝技三弹腿将庄三太重伤致死。庄三太高徒唐浩云（成龙 饰）与师母和师妹（苗可秀 饰）自此浪迹天涯，矢志复仇。而钟夫人因丈夫下手毒辣，以死相劝，钟鉴均痛惜爱妻之死，将“百胜”改为“百忍”。三年之后，百忍道场深得村民信任，临近的豪门魏家横行乡里，百忍道场受村民所托捉拿魏家的恶仆，恰在此时，武功精进的唐浩云赶赴百忍道场寻仇，一心赎罪的钟鉴均无意反抗，唐浩云只得罢手，而魏家此时却设计圈套，要借唐浩云之手杀害钟鉴均……©豆瓣","罗维","","成龙","田俊","苗可秀",""
"出笼马骝","1979","1779026","动作","剧情","","5.7","本片为着名导演兼武术指导程小东於演员时代的代表作。故事描述，程小东因误杀罪入狱，一死囚临终前交予他半爿铜牌，嘱他寻找另半爿铜牌，当会知其妙用。后程在狱中结识侯朝声，一同逃狱；逃亡期间二人得悉铜牌牵涉到一段江湖恩怨，且始知彼此身上均有半爿铜牌，一凑合即出现「长白之巅，猛虎之岭」八个字，另有山脉图绞，二人凭线索去到长白山猛虎岭找出「通臂拳」秘笈，遂苦练拳法以力敌追兵……","罗马","","程小东","侯朝声","关东","林辉煌"
"八万罪人","1979","2213933","","","","6.9","本片为程刚导演、辛汉白编剧，可谓早期的「监狱风云」。故事描述，香港在1953至1955年，曾被警方称为最黑暗的时期，那时候罪恶泛滥，百弊丛生，一日可发生三十二宗惊人案件，而犯罪份子有百分之四十是积犯；英廷特派专员来港调查监狱的措施，发现狱中不良份子，滥用权力，公报私仇，歪曲政府的监狱制度，造成犯人越变越黑，监狱变成地狱。影片主角江才（刘永）因不甘受探长侮辱，结果被控妨碍公务，判刑一年零八个月……","程刚","","刘永","芬妮","林辉煌","詹森"
"师父出马","1979","2261053","冒险","剧情","","0","香港国术家万人仰赴美,为爱徒丁森开设""花旗武馆""助威.万师父与各路高手较量,每每能以点到即止击败各派强敌.原来丁森在背后开设赌局,以赢得金钱还债.后来万师父得知丁森以他的功夫图利,怒骂丁森一场后与阿彪离开武馆.一日,五大武馆联合挑战""花旗武馆"",武馆陷于困境,万师父会否回馆解围...?","郭南宏","","于占元","雷小龙","庞大卫",""
"满宫春","1979","26757797","","","","0","","陈弓","","刘兰英","刘丹","林珊珊","白小凤"
"湾仔四条女","1979","25947608","","","","0","","罗马","鲁俊谷","林建明","丹娜","欧阳佩珊","周玲"
"奇招","1979","3025078","动作","剧情","","0","","华一泓","","庄泉利","袁小田","朱铁和",""
