"name","year","id","type__001","type__002","type__003","rate","story","director__001","director__002","director__003","director__004","actor__001","actor__002","actor__003","actor__004"
"赌霸","1991","1296826","动作","喜剧","爱情","6.5","阿星（周星驰 饰)利用特异功能在赌王大赛出尽风头，而后云游世界，不知所踪。洪光（秦沛 饰）不甘心失败，再度组织“超级赌王大赛”。松爷（刘镇伟 饰）勒令三叔（吴孟达 饰）寻觅特异功能人士参赛。另一方面，大陆对阿星在港所作所为十分不满，派出同样有特异功能的阿星之姐阿梅（梅艳芳 饰）赴港捉回阿星。三叔巧遇鱼市赌霸（郑裕玲 饰），为其赌技折服邀她出赛，却不知对方只是为弟弟筹措手术费的一名老千而已。阿梅暂住三叔家里，与大陆抵港的义匪大B（钟镇涛 饰）结识并心生爱意，并且最终答应传授赌霸特异功能以帮助她渡过难关。赌王大赛如期举行，阿梅却遭袭以致功力大减，而洪光却请来了大陆异人为自己撑腰……©豆瓣","元奎","刘镇伟","","","郑裕玲","梅艳芳","吴孟达","周星驰"
"惊天12小时","1991","1464814","动作","喜剧","","6.7","8月8日新加坡25周年国庆之际，国际知名的达卡喇嘛访新，日本赤军方面则计划暗杀达卡。香港国际刑警雷泰（谭咏麟 饰）奉命卫护达卡，将赤军领导北岛三郎支部歼灭。在达卡所乘坐飞往新加坡的客机上，黑道人物大B（刘德华 饰）与女友阿玲（罗美薇 饰）偶然结识达卡，达卡推算出自己与阿玲八字相同，他们的命运面临同样的一次挑战。飞机刚一降落，机场的赤军份子突袭达卡，将达卡和阿玲打伤，而这两人的血型居然都是罕见的P型血，全新加坡此时只有三名P型血公民，如果不能在8小时内找到血液，两人都将有性命之虞。潜藏在新加坡的北岛余部迅速展开对P型血人士的追杀，雷泰等人始终落后一步，大B担心女友安危，强迫雷泰与自己合作，而此时，P型血人士只剩最后一名肥波（曾志伟 饰）……©豆瓣","王晶","","","","刘德华","谭咏麟","陈百祥","曾志伟"
"我老婆唔系人","1991","1308219","喜剧","悬疑","","6.7","建筑师托尼（梁家辉 饰）的个性十分木讷老实，以至于他暗恋同时艾琳（陈雅伦 饰）多年，却总也鼓不起勇气表白，更糟的是，艾琳已有一位感情亲密的男友，托尼的单恋似乎注定不会有结果。一次偶然中，托尼被猛鬼缠身，索性得到名为嘉嘉（关之琳 饰）的女鬼相助才得以脱身，也正因为这件事，托尼拥有了能与嘉嘉心意相通的特异功能。\n得知了托尼的苦恋，热心的嘉嘉决定帮他一把，一番波折之后，艾琳终于离开了男友，投入了托尼的怀抱，可是，直到这时，托尼才发现自己其实早已经深深的爱上了嘉嘉，无奈人鬼殊途，无法承受分离之苦的托尼竟然决定殉情。©豆瓣","陈德森","","","","梁家辉","关之琳","胡枫","陈雅伦"
"新精武门1991","1991","1306733","动作","喜剧","","7.1","从小右臂就具神力的大陆青年刘晶（周星驰 饰）来港不久便接连遭遇倒霉事，先是钱包被偷，而后行李也遭人抢劫，不过也因此结识放荡不羁的潇洒（钟镇涛 饰）。刘晶四处寻找工作，却迟迟未定，甚至还卷入黑帮斗争之中。走投无路之际，刘晶和潇洒决定参加散打比赛，更阴差阳错拜入具有黑社会性质的赵东拳馆。在黑社会师傅（成奎安 饰）的带领下，二人随同前去夜袭霍家拳馆的霍环师傅，籍此机缘，刘晶得以拜入霍师傅门下。二人都对师傅的女儿嘉敏（张敏 饰）存有好感，也由此闹出不少笑话。然而门下大师兄（尹扬明 饰）嫉恨刘晶，设计陷害，致使刘晶被逐出师门。他的未来将何去何从……©豆瓣","左颂升","","","","周星驰","钟镇涛","张敏","元奎"
"财叔之横扫千军","1991","1296062","动作","冒险","喜剧","6.4","民国初年，清末代皇帝溥仪受日本人控制，在北方成立伪满洲政府，日人板垣正及川岛芳了建立毒气基地，残虐华人。\r\n财财会经当兵，又行过医，一日受土着所托到丛林救人，途中惊险百出，抵步时发觉原来是一群受毒气所害的士兵，财叔尽力抢救，但其团长不治，临终前将抗敌大任交与孟大海，财叔报国心切，欲投军而见拒。\r\n财叔潜入皇宫，假扮厨子，重遇孟大海等人，他们的目的是寻找长江一号天凤，探取毒气基地的地图，但行动被板垣正及川岛芳子所悉，于是财叔及天凤等人逃亡他方，途中财叔救回兰女。\r\n一干人等纠集力量，准备大举攻打毒气基地，多番激烈战斗，最后胜利。","徐克","程小东","","","石天","梁家辉","张学友","元奎"
"何日君再来","1991","1419925","剧情","爱情","战争","7.3","六年前，梁森（梁家辉 饰）告别心伤爱人梅伊（梅艳芳 饰），来到后方参加地下党，梅则按照吴先生（曾江 饰）的安排成为夜总会歌女。\n1941年，太平洋战争爆发，世界局势动荡不安。梁森和革命同志重返上海公共租界，当晚便目睹五个日本和尚惨遭杀害的景象，而幕后指使者竟是日本人白川（国村隼 饰）。梁尾随白川来至夜总会，两人发生搏斗，白川被杀，梁也多处负伤。养伤之际，梁森重逢爱人梅伊，旧情不断，难以割舍。\n白川之死激化租界内的矛盾，76局特务头子铁泽民（徐少强 饰）对地下党进行无情捕杀……©豆瓣","区丁平","","","","梁家辉","梅艳芳","吴家丽","徐少强"
"婚姻勿语","1991","1303212","喜剧","剧情","爱情","7.4","梁家辉饰演因为爱上钢琴老师而跟老婆离婚的设计师，叶童在受到婚姻打击之后学习独立自信，同时开始另一段爱情生活，但又仍然与前夫来往，在“夫妻”和“朋友”两种关系之间，他们似乎找到了一种新的情谊。","李志毅","","","","叶童","梁家辉","关之琳","尔冬升"
"双城故事","1991","1302662","剧情","爱情","","7.7","阿伦（谭咏麟）与志伟（曾志伟）打小便是一对好友，分离20年重相见时，志伟办了一家养鸡场，阿伦在一家PUB苦练歌艺，梦想成为一名歌星。志伟邂逅Olive（张曼玉）后介绍她与阿伦认识，令他们生出感情，志伟虽也心仪Olive，但鉴于兄弟情深只把情感藏在心底。\n后来阿伦如愿以偿成为当红歌星，同志伟与Olive相处时间日益减少，令他们于“被冷落”中生出共患难的心情。一场台风摧毁养鸡场，志伟黯然离去，Olive也在了解到志伟出走真相后，悄然与阿伦分手。但三人的缘分并没到此终止。©豆瓣","陈可辛","","","","谭咏麟","张曼玉","曾志伟","柯受良"
"魔画情","1991","1305335","奇幻","爱情","","6.1","一次交通意外， 一个有才华但不得志的漫画家（梁朝伟 饰）遇上刚要出嫁之女鬼（王祖贤 饰），由此引出一段浪漫感人的人鬼隔世情。小女鬼來到阳间，对世事一无所知，幸遇资深女鬼（叶德娴 饰），二人互诉身世，原來叶夫早丧，因偷会嫁前情人，与子同被浸猪笼而死。小女鬼对漫画家情有独钟，暗中相助使他成为当红漫画家。但小女鬼却日渐虛弱。叶终于等到令其子转世机会，不过交换条件是要将小女鬼抓回阴间，因小女鬼实乃血魔之未婚妻子，叶为自己儿子作人，故不惜出卖小女鬼。漫画家决意闯入阴间与血魔决斗……©豆瓣","黄泰来","","","","梁朝伟","王祖贤","叶德娴","秦沛"
"跛豪","1991","1296272","传记","犯罪","剧情","8.3","1962年，内地正值经济困难时期，随难民潮逃到香港的汕头青年吴国豪（吕良伟）因不甘被黑帮欺凌，投靠黑帮大佬肥波（郑则士），几场拼命的血战后，他被肥波重用，在黑帮中确立下地位，势力越来越大。\n渐感威胁的肥波设局令伍国豪被毒枭追杀，虽没使其毙命，却也让其残了一条腿，但他自己 终被对方设计陷害锒铛入狱。靠雷总华探长夺位，伍国豪接下肥波所有地盘，成为黑帮四大家族之首，又因他愿出钱替为其效劳的警界中人买探长做，警署成为他贩毒的保护伞。然而随着1973年（香港成立廉政公署）的临近，加上他因位高权重狂妄自大导致众叛亲离，其运势开始一路下滑。©豆瓣","潘文杰","","","","吕良伟","郑则仕","叶童","叶子楣"
"表姐,你玩嘢!","1991","2059774","喜剧","","","5.9","阿兰（郑裕玲 饰）生长在广州，脑筋灵活机敏过人，个性大大咧咧充满了男孩子气，又有着非凡的武艺傍身，走南闯北不在话下。这样的她孤身一人来到了香港，找在那里居住生活的表弟阿宝（郭富城 饰），哪知道初来乍到就因为误会和阿宝的室友（万梓良 饰）闹了个不痛快。\n阿宝暗恋着毒王傅汉生（吴孟达 饰）的女儿（黎姿 饰），然而傅汉生并非等闲之辈，这段感情注定凶多吉少。傅汉华（任达华 饰）是傅汉生的弟弟，和哥哥不同，傅汉华为人正直老实，温柔体贴。一次偶然中，傅汉华发现了阿兰身上所潜藏的赌博天赋，于是向她抛出橄榄枝，聘用她成为自己赌场内的荷官，一段情缘就此展开。©豆瓣","萧笙","","","","郑裕玲","万梓良","胡慧中","吴孟达"
